finding_id,investigation_id,severity,category,description,confidence_score,status,created_at,validated_at
FND-001566,INV-00173,LOW,FRAUD_PATTERN,Employee EMP-97815 submitted 6 expense claims within 72 hours for identical amounts — potential duplicate fraud pattern.,0.218,RESOLVED,2021-09-05,2021-10-04
FND-001567,INV-00349,LOW,VENDOR_RISK,"High-risk vendor BridgeTech Consulting Ltd has no compliance record on file. Payment of $477,199 released without compliance clearance.",0.292,ESCALATED,2024-06-09,2024-06-20
FND-001568,INV-00499,LOW,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0004 requires receipts for all claims above $100.,0.334,VALIDATED,2024-10-08,2024-10-14
FND-001569,INV-00127,HIGH,VENDOR_RISK,"High-risk vendor LatticeCore Partners Inc has no compliance record on file. Payment of $421,991 released without compliance clearance.",0.714,VALIDATED,2022-04-24,
FND-001570,INV-00465,LOW,VENDOR_RISK,"Vendor KryptonPath Ltd Inc holds CRITICAL risk rating. 4 payments totalling $3,505 processed in the audit period.",0.539,VALIDATED,2022-12-19,2022-12-21
FND-001571,INV-00449,MEDIUM,MISSING_RECEIPT,Expense claim EXP-184712 submitted for Software without an attached supporting receipt.,0.538,RESOLVED,2021-10-20,
FND-001572,INV-00233,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $74,834 was approved at L1 without L3 countersignature.",0.571,VALIDATED,2023-11-01,2023-11-14
FND-001573,INV-00035,MEDIUM,EXPIRED_COMPLIANCE,"Vendor VND-VND-02418 received payment of $49,500 on 2024-01-25. Compliance certificate expired on 2021-06-05 — 152 days prior.",0.47,VALIDATED,2023-03-19,2023-04-12
FND-001574,INV-00250,MEDIUM,POLICY_BREACH,Employee submitted Training claim 44% above the authorised policy limit without prior exception approval.,0.488,VALIDATED,2022-10-27,
FND-001575,INV-00168,CRITICAL,EXPIRED_COMPLIANCE,"Vendor VND-VND-03851 received payment of $108,206 on 2023-05-10. Compliance certificate expired on 2021-04-20 — 330 days prior.",0.915,OPEN,2024-04-30,
FND-001576,INV-00356,MEDIUM,APPROVAL_LIMIT,"Payment of $481,460 approved at Level 3, which has a limit of $100,000. Transaction exceeded limit by $44,465.",0.468,RESOLVED,2021-10-21,
FND-001577,INV-00332,MEDIUM,MISSING_RECEIPT,"Employee EMP-55065 submitted 5 claims totalling $18,368 without receipts in the review period.",0.612,RESOLVED,2022-07-02,2022-07-28
FND-001578,INV-00490,HIGH,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0012 requires receipts for all claims above $75.,0.625,FALSE_POSITIVE,2023-04-24,
FND-001579,INV-00451,LOW,POLICY_BREACH,"Entertainment expense of $241,552 submitted by EMP-20392 exceeds monthly policy allowance of $500,000.",0.241,ESCALATED,2022-01-18,2022-02-07
FND-001580,INV-00015,MEDIUM,VENDOR_RISK,"BLACKLISTED vendor VND-VND-04873 received payment of $433,785 via contract CON-109595 that was not updated following blacklisting.",0.478,VALIDATED,2021-09-22,2021-10-13
FND-001581,INV-00096,HIGH,FRAUD_PATTERN,"Round-number transaction of $97,726 processed at 01:26 — outside standard business hours. Flagged by anomaly detection.",0.614,RESOLVED,2022-12-27,
FND-001582,INV-00200,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $219,159 was approved at L1 without L4 countersignature.",0.466,VALIDATED,2023-08-13,
FND-001583,INV-00324,CRITICAL,APPROVAL_LIMIT,"Approval granted by EMP-18156 who was not authorised to approve amounts above $500,000. Transaction value: $229,705.",0.857,OPEN,2021-08-03,
FND-001584,INV-00323,MEDIUM,APPROVAL_LIMIT,"Payment of $422,663 approved at Level 3, which has a limit of $25,000. Transaction exceeded limit by $39,500.",0.562,FALSE_POSITIVE,2024-05-03,2024-05-16
FND-001585,INV-00308,HIGH,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $484,337 was approved at L3 without L5 countersignature.",0.776,ESCALATED,2022-10-10,
FND-001586,INV-00127,LOW,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 21% below the required threshold.,0.491,ESCALATED,2024-08-09,
FND-001587,INV-00150,LOW,EXPIRED_COMPLIANCE,Compliance record CMP-102229 for vendor RapidCore Consulting Group was in EXPIRED status at time of payment processing.,0.452,RESOLVED,2023-11-18,
FND-001588,INV-00295,MEDIUM,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 414 days.,0.538,OPEN,2022-01-25,
FND-001589,INV-00330,MEDIUM,POLICY_BREACH,"Expense claim of $378,219 for Travel exceeds the policy maximum of $5,000. Overage: $36,436.",0.581,RESOLVED,2024-08-19,
FND-001590,INV-00208,MEDIUM,EXPIRED_COMPLIANCE,"Vendor VND-VND-03168 received payment of $55,821 on 2022-10-04. Compliance certificate expired on 2022-08-12 — 18 days prior.",0.603,OPEN,2024-01-03,2024-01-11
FND-001591,INV-00058,MEDIUM,POLICY_BREACH,Employee submitted Software claim 9% above the authorised policy limit without prior exception approval.,0.686,ESCALATED,2022-04-03,2022-04-19
FND-001592,INV-00106,LOW,FRAUD_PATTERN,Employee EMP-37243 submitted 3 expense claims within 72 hours for identical amounts — potential duplicate fraud pattern.,0.441,VALIDATED,2023-05-21,2023-06-15
FND-001593,INV-00131,CRITICAL,POLICY_BREACH,Employee submitted Meals claim 29% above the authorised policy limit without prior exception approval.,0.81,FALSE_POSITIVE,2022-05-16,2022-06-10
FND-001594,INV-00115,MEDIUM,MISSING_RECEIPT,"Reimbursement of $127,658 for Accommodation was approved despite no receipt documentation in the system.",0.517,OPEN,2023-06-29,2023-07-24
FND-001595,INV-00340,HIGH,POLICY_BREACH,"Claim EXP-129383 violates Policy POL-0020 section 4.2: Entertainment expenditure capped at $5,000 per event.",0.793,RESOLVED,2022-04-18,
FND-001596,INV-00020,MEDIUM,MISSING_RECEIPT,Expense claim EXP-150366 submitted for Marketing without an attached supporting receipt.,0.743,OPEN,2022-12-28,2023-01-14
FND-001597,INV-00476,HIGH,VENDOR_RISK,"BLACKLISTED vendor VND-VND-03031 received payment of $218,668 via contract CON-107828 that was not updated following blacklisting.",0.831,OPEN,2024-07-10,2024-07-29
FND-001598,INV-00056,MEDIUM,MISSING_RECEIPT,Employee EMP-15641 submitted 5 claims totalling $815 without receipts in the review period.,0.527,ESCALATED,2022-05-31,2022-06-27
FND-001599,INV-00235,LOW,APPROVAL_LIMIT,"Approval granted by EMP-32596 who was not authorised to approve amounts above $25,000. Transaction value: $350,217.",0.534,VALIDATED,2023-08-21,2023-08-23
FND-001600,INV-00342,MEDIUM,VENDOR_RISK,"Vendor Epsilon_Group International holds CRITICAL risk rating. 2 payments totalling $15,182 processed in the audit period.",0.495,VALIDATED,2023-07-16,2023-07-24
FND-001601,INV-00151,MEDIUM,VENDOR_RISK,"Vendor MomentumCore Corp Group holds CRITICAL risk rating. 8 payments totalling $14,194 processed in the audit period.",0.631,VALIDATED,2024-09-01,
FND-001602,INV-00125,CRITICAL,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $411,322 was approved at L1 without L4 countersignature.",0.96,VALIDATED,2024-04-01,2024-04-02
FND-001603,INV-00497,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-01771 rated LOW risk. Active contract CON-106105 in place. Enhanced due diligence not documented.,0.648,OPEN,2022-03-25,2022-04-04
FND-001604,INV-00085,MEDIUM,VENDOR_RISK,"High-risk vendor UnityCore Technologies Holdings has no compliance record on file. Payment of $224,110 released without compliance clearance.",0.664,OPEN,2023-12-20,
FND-001605,INV-00324,HIGH,APPROVAL_LIMIT,"Payment of $78,924 approved at Level 3, which has a limit of $500,000. Transaction exceeded limit by $12,889.",0.869,RESOLVED,2023-01-26,2023-02-19
FND-001606,INV-00234,CRITICAL,MISSING_RECEIPT,"Reimbursement of $119,181 for Office Supplies was approved despite no receipt documentation in the system.",0.814,ESCALATED,2024-01-29,
FND-001607,INV-00052,HIGH,POLICY_BREACH,Employee submitted Travel claim 74% above the authorised policy limit without prior exception approval.,0.852,OPEN,2022-03-04,2022-03-06
FND-001608,INV-00143,HIGH,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $37,285 was approved at L2 without L5 countersignature.",0.638,OPEN,2022-06-01,2022-06-26
FND-001609,INV-00319,LOW,FRAUD_PATTERN,Employee EMP-74979 submitted 7 expense claims within 72 hours for identical amounts — potential duplicate fraud pattern.,0.42,OPEN,2024-03-27,2024-04-22
FND-001610,INV-00153,LOW,MISSING_RECEIPT,"Employee EMP-50890 submitted 5 claims totalling $13,024 without receipts in the review period.",0.432,VALIDATED,2021-12-28,
FND-001611,INV-00470,HIGH,POLICY_BREACH,"Expense claim of $277,369 for Meals exceeds the policy maximum of $5,000. Overage: $6,803.",0.702,OPEN,2022-02-19,2022-03-17
FND-001612,INV-00414,LOW,VENDOR_RISK,"Vendor KineticBlue Ltd LLC holds CRITICAL risk rating. 5 payments totalling $8,755 processed in the audit period.",0.403,OPEN,2022-03-27,2022-04-16
FND-001613,INV-00380,MEDIUM,APPROVAL_LIMIT,"Payment of $314,258 approved at Level 2, which has a limit of $5,000. Transaction exceeded limit by $32,083.",0.721,VALIDATED,2023-07-18,2023-07-30
FND-001614,INV-00175,CRITICAL,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0005 requires receipts for all claims above $75.,0.902,OPEN,2022-03-19,
FND-001615,INV-00203,LOW,FRAUD_PATTERN,"Round-number transaction of $341,246 processed at 02:33 — outside standard business hours. Flagged by anomaly detection.",0.2,OPEN,2023-01-03,
FND-001616,INV-00002,LOW,VENDOR_RISK,"Vendor YieldPoint Partners Holdings holds CRITICAL risk rating. 5 payments totalling $7,883 processed in the audit period.",0.63,OPEN,2024-04-29,2024-05-13
FND-001617,INV-00302,HIGH,FRAUD_PATTERN,"Round-number transaction of $146,051 processed at 05:42 — outside standard business hours. Flagged by anomaly detection.",0.861,VALIDATED,2022-04-18,2022-04-29
FND-001618,INV-00327,LOW,FRAUD_PATTERN,Transaction routed through 2 intermediate accounts before reaching final beneficiary. Unusual for CASH_OUT transaction type.,0.292,RESOLVED,2024-12-04,2024-12-06
FND-001619,INV-00182,MEDIUM,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 13% below the required threshold.,0.69,VALIDATED,2023-03-29,
FND-001620,INV-00351,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-83618 who was not authorised to approve amounts above $5,000. Transaction value: $283,404.",0.581,RESOLVED,2021-08-03,2021-08-26
FND-001621,INV-00398,MEDIUM,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 69% below the required threshold.,0.578,RESOLVED,2021-09-20,2021-09-25
FND-001622,INV-00450,MEDIUM,APPROVAL_LIMIT,"Payment of $110,421 approved at Level 1, which has a limit of $500,000. Transaction exceeded limit by $42,511.",0.421,VALIDATED,2024-01-14,
FND-001623,INV-00027,CRITICAL,VENDOR_RISK,"Vendor WaveCore Manufacturing Inc holds CRITICAL risk rating. 6 payments totalling $3,102 processed in the audit period.",0.752,RESOLVED,2024-11-22,2024-11-29
FND-001624,INV-00443,MEDIUM,APPROVAL_LIMIT,"Payment of $249,931 approved at Level 3, which has a limit of $500,000. Transaction exceeded limit by $3,246.",0.605,VALIDATED,2024-10-20,2024-11-07
FND-001625,INV-00382,LOW,FRAUD_PATTERN,"Round-number transaction of $403,951 processed at 02:54 — outside standard business hours. Flagged by anomaly detection.",0.308,OPEN,2023-09-20,2023-10-04
FND-001626,INV-00071,LOW,VENDOR_RISK,"Vendor XcelPath Networks Ltd holds CRITICAL risk rating. 8 payments totalling $17,645 processed in the audit period.",0.444,OPEN,2024-05-01,2024-05-31
FND-001627,INV-00029,HIGH,VENDOR_RISK,"BLACKLISTED vendor VND-VND-00267 received payment of $303,418 via contract CON-103454 that was not updated following blacklisting.",0.78,RESOLVED,2022-06-28,
FND-001628,INV-00378,HIGH,POLICY_BREACH,Employee submitted Travel claim 60% above the authorised policy limit without prior exception approval.,0.89,OPEN,2022-09-14,
FND-001629,INV-00409,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-28444 who was not authorised to approve amounts above $100,000. Transaction value: $192,620.",0.51,ESCALATED,2023-08-27,2023-09-08
FND-001630,INV-00483,MEDIUM,EXPIRED_COMPLIANCE,"Vendor VND-VND-02702 received payment of $399,764 on 2022-02-03. Compliance certificate expired on 2020-01-20 — 385 days prior.",0.413,OPEN,2023-05-07,2023-06-03
FND-001631,INV-00140,MEDIUM,POLICY_BREACH,"Expense claim of $401,456 for Software exceeds the policy maximum of $100,000. Overage: $35,839.",0.552,OPEN,2024-01-24,2024-02-23
FND-001632,INV-00276,MEDIUM,POLICY_BREACH,"Entertainment expense of $40,763 submitted by EMP-90233 exceeds monthly policy allowance of $5,000.",0.416,RESOLVED,2024-04-20,2024-05-17
FND-001633,INV-00225,LOW,EXPIRED_COMPLIANCE,Compliance record CMP-101008 for vendor BridgeTech Consulting was in EXPIRED status at time of payment processing.,0.625,OPEN,2024-03-04,
FND-001634,INV-00087,MEDIUM,EXPIRED_COMPLIANCE,"Payment of $81,309 released to VoltEdge Solutions Inc whose GDPR compliance expired 411 days before payment date.",0.495,ESCALATED,2023-10-03,2023-10-07
FND-001635,INV-00234,LOW,EXPIRED_COMPLIANCE,"Payment of $191,066 released to XpressCore Dynamics Group whose SOC 2 compliance expired 478 days before payment date.",0.244,OPEN,2023-03-09,
FND-001636,INV-00369,HIGH,MISSING_RECEIPT,Expense claim EXP-111905 submitted for Accommodation without an attached supporting receipt.,0.731,FALSE_POSITIVE,2021-11-08,2021-12-07
FND-001637,INV-00020,MEDIUM,POLICY_BREACH,Employee submitted Office Supplies claim 39% above the authorised policy limit without prior exception approval.,0.454,VALIDATED,2021-12-02,2021-12-07
FND-001638,INV-00098,MEDIUM,FRAUD_PATTERN,"Split payment pattern detected: 2 transactions to same beneficiary totalling $5,121 — each below approval threshold of $500,000.",0.605,RESOLVED,2024-09-07,2024-09-26
FND-001639,INV-00169,LOW,VENDOR_RISK,"High-risk vendor YieldPoint Partners Ltd has no compliance record on file. Payment of $121,307 released without compliance clearance.",0.432,VALIDATED,2024-04-09,2024-04-26
FND-001640,INV-00427,MEDIUM,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 33% below the required threshold.,0.661,OPEN,2021-09-18,
FND-001641,INV-00146,MEDIUM,EXPIRED_COMPLIANCE,Compliance record CMP-105179 for vendor VertiLink Distributors Ltd was in EXPIRED status at time of payment processing.,0.606,OPEN,2021-11-04,
FND-001642,INV-00317,CRITICAL,VENDOR_RISK,"Vendor VoltEdge Solutions Inc holds CRITICAL risk rating. 6 payments totalling $5,035 processed in the audit period.",0.828,OPEN,2023-07-19,2023-08-04
FND-001643,INV-00204,LOW,APPROVAL_LIMIT,"Payment of $249,923 approved at Level 1, which has a limit of $25,000. Transaction exceeded limit by $49,143.",0.246,RESOLVED,2024-04-10,2024-04-11
FND-001644,INV-00287,CRITICAL,POLICY_BREACH,"Entertainment expense of $409,799 submitted by EMP-70062 exceeds monthly policy allowance of $25,000.",0.838,RESOLVED,2021-10-11,2021-10-16
FND-001645,INV-00053,HIGH,EXPIRED_COMPLIANCE,"Vendor VND-VND-02781 received payment of $379,231 on 2022-08-07. Compliance certificate expired on 2022-06-12 — 374 days prior.",0.72,RESOLVED,2023-05-22,2023-05-28
FND-001646,INV-00234,MEDIUM,FRAUD_PATTERN,"Split payment pattern detected: 3 transactions to same beneficiary totalling $19,746 — each below approval threshold of $25,000.",0.524,OPEN,2021-12-15,2022-01-05
FND-001647,INV-00271,MEDIUM,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0008 requires receipts for all claims above $75.,0.466,RESOLVED,2022-04-19,2022-05-13
FND-001648,INV-00216,LOW,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 47 days.,0.569,OPEN,2023-01-16,2023-01-17
FND-001649,INV-00426,LOW,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $231,400 was approved at L1 without L4 countersignature.",0.45,ESCALATED,2023-10-24,
FND-001650,INV-00147,HIGH,VENDOR_RISK,Payment issued to VND-VND-00292 rated LOW risk. Active contract CON-108380 in place. Enhanced due diligence not documented.,0.839,VALIDATED,2022-09-19,2022-09-30
FND-001651,INV-00441,MEDIUM,POLICY_BREACH,"Claim EXP-193207 violates Policy POL-0017 section 4.2: Training expenditure capped at $5,000 per event.",0.66,RESOLVED,2023-09-02,
FND-001652,INV-00190,CRITICAL,POLICY_BREACH,"Entertainment expense of $278,009 submitted by EMP-96329 exceeds monthly policy allowance of $25,000.",0.786,VALIDATED,2024-12-25,2025-01-21
FND-001653,INV-00074,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-58214 who was not authorised to approve amounts above $500,000. Transaction value: $439,567.",0.551,ESCALATED,2024-11-04,
FND-001654,INV-00461,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-04131 rated MEDIUM risk. Active contract CON-102058 in place. Enhanced due diligence not documented.,0.564,FALSE_POSITIVE,2023-11-29,2023-12-17
FND-001655,INV-00018,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-63347 who was not authorised to approve amounts above $100,000. Transaction value: $104,775.",0.607,ESCALATED,2024-08-11,2024-08-17
FND-001656,INV-00040,LOW,MISSING_RECEIPT,Expense claim EXP-192692 submitted for Office Supplies without an attached supporting receipt.,0.466,VALIDATED,2022-06-28,2022-07-24
FND-001657,INV-00078,MEDIUM,EXPIRED_COMPLIANCE,Compliance record CMP-106884 for vendor LatticeCore Partners Holdings was in EXPIRED status at time of payment processing.,0.709,VALIDATED,2022-02-19,
FND-001658,INV-00142,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-20646 who was not authorised to approve amounts above $500,000. Transaction value: $8,614.",0.501,VALIDATED,2022-11-29,2022-11-30
FND-001659,INV-00008,MEDIUM,APPROVAL_LIMIT,"Payment of $266,923 approved at Level 2, which has a limit of $500,000. Transaction exceeded limit by $11,646.",0.516,OPEN,2023-06-03,2023-06-08
FND-001660,INV-00467,MEDIUM,MISSING_RECEIPT,"Employee EMP-58506 submitted 5 claims totalling $12,512 without receipts in the review period.",0.544,VALIDATED,2022-08-10,2022-08-18
FND-001661,INV-00178,LOW,POLICY_BREACH,"Expense claim of $418,750 for Office Supplies exceeds the policy maximum of $25,000. Overage: $8,874.",0.304,OPEN,2024-09-20,2024-10-19
FND-001662,INV-00444,MEDIUM,POLICY_BREACH,"Claim EXP-139875 violates Policy POL-0002 section 4.2: Office Supplies expenditure capped at $25,000 per event.",0.5,VALIDATED,2022-01-28,2022-02-27
FND-001663,INV-00245,MEDIUM,EXPIRED_COMPLIANCE,"Payment of $278,645 released to HarborLight Services LLC whose ISO 27001 compliance expired 335 days before payment date.",0.671,RESOLVED,2024-04-10,2024-04-28
FND-001664,INV-00002,MEDIUM,EXPIRED_COMPLIANCE,"Vendor VND-VND-00047 received payment of $263,139 on 2022-01-08. Compliance certificate expired on 2020-08-22 — 299 days prior.",0.709,VALIDATED,2022-01-22,2022-01-26
FND-001665,INV-00038,LOW,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0009 requires receipts for all claims above $75.,0.557,RESOLVED,2024-11-01,2024-11-03
FND-001666,INV-00155,LOW,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 534 days.,0.626,RESOLVED,2021-08-12,
FND-001667,INV-00187,LOW,FRAUD_PATTERN,Employee EMP-13282 submitted 7 expense claims within 72 hours for identical amounts — potential duplicate fraud pattern.,0.229,VALIDATED,2022-02-23,
FND-001668,INV-00070,LOW,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 131 days.,0.381,FALSE_POSITIVE,2022-10-12,2022-10-28
FND-001669,INV-00324,CRITICAL,VENDOR_RISK,Payment issued to VND-VND-03507 rated LOW risk. Active contract CON-106870 in place. Enhanced due diligence not documented.,0.841,OPEN,2022-08-05,2022-08-13
FND-001670,INV-00404,MEDIUM,POLICY_BREACH,"Entertainment expense of $366,303 submitted by EMP-62213 exceeds monthly policy allowance of $25,000.",0.519,VALIDATED,2022-04-02,2022-04-13
FND-001671,INV-00375,MEDIUM,EXPIRED_COMPLIANCE,"Vendor VND-VND-04973 received payment of $98,060 on 2022-06-23. Compliance certificate expired on 2021-03-14 — 532 days prior.",0.531,VALIDATED,2024-05-09,
FND-001672,INV-00191,MEDIUM,FRAUD_PATTERN,"Round-number transaction of $53,507 processed at 04:21 — outside standard business hours. Flagged by anomaly detection.",0.421,VALIDATED,2021-10-25,2021-10-28
FND-001673,INV-00043,CRITICAL,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 31% below the required threshold.,0.926,OPEN,2023-06-22,2023-07-17
FND-001674,INV-00042,MEDIUM,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0001 requires receipts for all claims above $50.,0.582,RESOLVED,2024-12-29,2025-01-11
FND-001675,INV-00403,MEDIUM,MISSING_RECEIPT,"Reimbursement of $229,743 for Travel was approved despite no receipt documentation in the system.",0.6,OPEN,2024-05-30,2024-06-15
FND-001676,INV-00090,MEDIUM,MISSING_RECEIPT,"Reimbursement of $274,781 for Consulting was approved despite no receipt documentation in the system.",0.529,RESOLVED,2024-09-11,
FND-001677,INV-00014,CRITICAL,APPROVAL_LIMIT,"Payment of $114,195 approved at Level 1, which has a limit of $100,000. Transaction exceeded limit by $12,996.",0.94,OPEN,2021-11-23,2021-12-05
FND-001678,INV-00102,MEDIUM,POLICY_BREACH,"Expense claim of $123,016 for Software exceeds the policy maximum of $5,000. Overage: $48,681.",0.734,OPEN,2022-04-20,
FND-001679,INV-00274,MEDIUM,APPROVAL_LIMIT,"Payment of $327,947 approved at Level 3, which has a limit of $500,000. Transaction exceeded limit by $2,314.",0.535,VALIDATED,2022-11-13,
FND-001680,INV-00052,MEDIUM,APPROVAL_LIMIT,"Payment of $441,690 approved at Level 2, which has a limit of $500,000. Transaction exceeded limit by $4,535.",0.563,RESOLVED,2024-11-19,
FND-001681,INV-00028,HIGH,POLICY_BREACH,"Entertainment expense of $284,826 submitted by EMP-85170 exceeds monthly policy allowance of $100,000.",0.715,VALIDATED,2022-02-13,
FND-001682,INV-00419,MEDIUM,POLICY_BREACH,"Expense claim of $448,654 for Equipment exceeds the policy maximum of $5,000. Overage: $32,000.",0.503,OPEN,2021-07-09,2021-07-15
FND-001683,INV-00153,CRITICAL,APPROVAL_LIMIT,"Payment of $181,234 approved at Level 2, which has a limit of $100,000. Transaction exceeded limit by $3,988.",0.801,RESOLVED,2024-03-26,2024-04-18
FND-001684,INV-00460,MEDIUM,APPROVAL_LIMIT,"Payment of $236,289 approved at Level 3, which has a limit of $100,000. Transaction exceeded limit by $34,973.",0.665,VALIDATED,2021-09-02,
FND-001685,INV-00109,MEDIUM,MISSING_RECEIPT,"Reimbursement of $388,617 for Accommodation was approved despite no receipt documentation in the system.",0.597,RESOLVED,2021-12-11,2021-12-21
FND-001686,INV-00049,MEDIUM,VENDOR_RISK,"BLACKLISTED vendor VND-VND-02322 received payment of $90,127 via contract CON-107492 that was not updated following blacklisting.",0.579,OPEN,2023-02-22,
FND-001687,INV-00254,HIGH,MISSING_RECEIPT,"Employee EMP-11581 submitted 2 claims totalling $2,729 without receipts in the review period.",0.802,OPEN,2023-10-05,
FND-001688,INV-00074,MEDIUM,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 68% below the required threshold.,0.478,OPEN,2024-12-20,2025-01-10
FND-001689,INV-00163,LOW,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0003 requires receipts for all claims above $200.,0.501,OPEN,2024-05-30,2024-06-05
FND-001690,INV-00071,HIGH,FRAUD_PATTERN,Transaction routed through 4 intermediate accounts before reaching final beneficiary. Unusual for TRANSFER transaction type.,0.868,ESCALATED,2021-08-09,2021-09-06
FND-001691,INV-00019,MEDIUM,MISSING_RECEIPT,"Reimbursement of $94,905 for Training was approved despite no receipt documentation in the system.",0.402,RESOLVED,2024-03-01,
FND-001692,INV-00341,MEDIUM,FRAUD_PATTERN,"Split payment pattern detected: 4 transactions to same beneficiary totalling $2,536 — each below approval threshold of $5,000.",0.526,OPEN,2022-03-20,2022-04-13
FND-001693,INV-00460,HIGH,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $387,340 was approved at L2 without L3 countersignature.",0.817,VALIDATED,2024-05-02,2024-05-23
FND-001694,INV-00141,HIGH,MISSING_RECEIPT,"Employee EMP-26190 submitted 8 claims totalling $3,927 without receipts in the review period.",0.749,VALIDATED,2022-08-24,
FND-001695,INV-00115,MEDIUM,APPROVAL_LIMIT,"Payment of $263,524 approved at Level 1, which has a limit of $100,000. Transaction exceeded limit by $44,835.",0.428,VALIDATED,2023-12-09,2023-12-26
FND-001696,INV-00006,MEDIUM,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 14% below the required threshold.,0.61,OPEN,2023-07-01,
FND-001697,INV-00257,HIGH,APPROVAL_LIMIT,"Approval granted by EMP-88030 who was not authorised to approve amounts above $500,000. Transaction value: $87,296.",0.735,VALIDATED,2024-04-18,2024-05-02
FND-001698,INV-00444,MEDIUM,EXPIRED_COMPLIANCE,"Payment of $14,649 released to VoltEdge Solutions Holdings whose ISO 27001 compliance expired 420 days before payment date.",0.612,VALIDATED,2022-02-22,2022-03-03
FND-001699,INV-00061,MEDIUM,POLICY_BREACH,Employee submitted Training claim 61% above the authorised policy limit without prior exception approval.,0.477,RESOLVED,2021-11-05,2021-11-13
FND-001700,INV-00468,MEDIUM,EXPIRED_COMPLIANCE,"Payment of $67,994 released to JadeCore Solutions International whose PCI-DSS compliance expired 362 days before payment date.",0.433,VALIDATED,2023-04-24,2023-05-08
FND-001701,INV-00003,MEDIUM,VENDOR_RISK,"High-risk vendor InnoCore Dynamics International has no compliance record on file. Payment of $282,385 released without compliance clearance.",0.66,ESCALATED,2021-11-22,2021-12-07
FND-001702,INV-00323,MEDIUM,VENDOR_RISK,"High-risk vendor WavePath Inc has no compliance record on file. Payment of $445,868 released without compliance clearance.",0.73,ESCALATED,2021-10-22,2021-11-14
FND-001703,INV-00030,MEDIUM,APPROVAL_LIMIT,"Payment of $173,410 approved at Level 2, which has a limit of $500,000. Transaction exceeded limit by $8,539.",0.465,ESCALATED,2022-07-01,
FND-001704,INV-00407,LOW,APPROVAL_LIMIT,"Payment of $227,107 approved at Level 2, which has a limit of $25,000. Transaction exceeded limit by $26,693.",0.413,OPEN,2023-03-26,
FND-001705,INV-00002,MEDIUM,VENDOR_RISK,"BLACKLISTED vendor VND-VND-00244 received payment of $224,113 via contract CON-101814 that was not updated following blacklisting.",0.677,OPEN,2024-09-14,
FND-001706,INV-00354,LOW,POLICY_BREACH,"Claim EXP-102155 violates Policy POL-0005 section 4.2: Software expenditure capped at $5,000 per event.",0.472,OPEN,2023-11-13,2023-11-24
FND-001707,INV-00245,HIGH,VENDOR_RISK,Payment issued to VND-VND-03277 rated LOW risk. Active contract CON-106497 in place. Enhanced due diligence not documented.,0.808,OPEN,2022-01-23,2022-02-07
FND-001708,INV-00043,LOW,POLICY_BREACH,"Entertainment expense of $339,506 submitted by EMP-79915 exceeds monthly policy allowance of $500,000.",0.421,VALIDATED,2022-08-11,2022-09-02
FND-001709,INV-00106,LOW,VENDOR_RISK,Payment issued to VND-VND-01701 rated HIGH risk. Active contract CON-106363 in place. Enhanced due diligence not documented.,0.234,RESOLVED,2024-04-28,2024-05-14
FND-001710,INV-00364,CRITICAL,VENDOR_RISK,"BLACKLISTED vendor VND-VND-02336 received payment of $278,580 via contract CON-105856 that was not updated following blacklisting.",0.795,ESCALATED,2022-04-07,2022-04-21
