compliance_id,vendor_id,framework,status,assessment_date,expiry_date,assessed_by,findings_summary,document_ref
CMP-004107,VND-00125,ISO 9001,COMPLIANT,2020-06-13,2021-07-01,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-JW8636
CMP-004108,VND-02596,SOC 2 Type II,COMPLIANT,2023-10-07,2024-12-12,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-OW3175
CMP-004109,VND-00865,HIPAA,COMPLIANT,2024-02-14,2025-02-07,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-OT3373
CMP-004110,VND-03438,ISO 9001,COMPLIANT,2020-09-25,2021-10-01,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-DX7763
CMP-004111,VND-00614,SOX,COMPLIANT,2023-11-02,2025-08-05,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-GJ6585
CMP-004112,VND-03928,PCI-DSS,COMPLIANT,2022-05-12,2022-12-21,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-ZO7654
CMP-004113,VND-02129,SOC 2 Type II,COMPLIANT,2024-03-07,2024-09-28,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-WR6991
CMP-004114,VND-04659,HIPAA,COMPLIANT,2020-11-01,2022-07-21,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-OB8973
CMP-004115,VND-00206,GDPR,COMPLIANT,2020-10-25,2021-09-22,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-HG3785
CMP-004116,VND-04029,GDPR,PENDING,2019-04-11,2020-05-06,PwC Compliance Team,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-HT4429
CMP-004117,VND-00976,NIST CSF,COMPLIANT,2023-03-29,2024-10-14,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-AH3687
CMP-004118,VND-00283,ISO 27001,PENDING,2021-08-24,2022-03-14,Jennifer Zamora,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-BU9075
CMP-004119,VND-00261,NIST CSF,COMPLIANT,2019-08-29,2021-05-22,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-XW6115
CMP-004120,VND-00332,SOC 2 Type II,COMPLIANT,2023-08-28,2025-07-30,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-TZ5107
CMP-004121,VND-03591,ISO 27001,COMPLIANT,2020-04-19,2021-07-06,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-HZ9818
CMP-004122,VND-04256,ISO 27001,COMPLIANT,2022-08-11,2023-06-05,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-XJ9611
CMP-004123,VND-00634,PCI-DSS,COMPLIANT,2022-12-06,2024-07-03,John Smith,No material findings. All controls assessed as effective.,COMP-DOC-FE8901
CMP-004124,VND-00346,GDPR,COMPLIANT,2022-07-12,2023-07-26,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-DA8729
CMP-004125,VND-00265,PCI-DSS,NON_COMPLIANT,2021-03-02,2021-12-02,David Stanley,Third-party sub-processor agreements not in place as required.,COMP-DOC-NP1268
CMP-004126,VND-00822,ISO 27001,COMPLIANT,2023-11-14,2025-09-11,Grant Thornton,No material findings. All controls assessed as effective.,COMP-DOC-PQ1562
CMP-004127,VND-03521,SOC 2 Type II,COMPLIANT,2023-07-02,2024-01-11,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-XO2060
CMP-004128,VND-04572,CMMC,PENDING,2020-07-21,2022-06-10,RSM Risk Advisory,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-XE1169
CMP-004129,VND-00867,SOX,COMPLIANT,2023-03-17,2024-08-29,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-RP6905
CMP-004130,VND-04369,CIS Controls,COMPLIANT,2022-07-29,2023-05-08,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-YI5268
CMP-004131,VND-04503,ISO 27001,COMPLIANT,2019-05-04,2020-05-11,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-FL1947
CMP-004132,VND-00243,GDPR,COMPLIANT,2021-06-05,2022-12-18,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-FT0232
CMP-004133,VND-02185,CIS Controls,COMPLIANT,2023-01-05,2023-07-26,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-IV1073
CMP-004134,VND-01408,SOC 2 Type II,COMPLIANT,2023-06-13,2024-05-09,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-HL7592
CMP-004135,VND-04370,ISO 9001,COMPLIANT,2021-05-11,2022-03-27,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-GN3034
CMP-004136,VND-02824,SOC 2 Type II,COMPLIANT,2023-06-23,2024-11-02,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-TQ9056
CMP-004137,VND-00479,NIST CSF,COMPLIANT,2023-12-27,2025-11-19,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-XF3172
CMP-004138,VND-02045,PCI-DSS,COMPLIANT,2020-08-31,2021-08-15,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-XE0463
CMP-004139,VND-00748,ISO 27001,COMPLIANT,2021-12-14,2023-09-17,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-BP1867
CMP-004140,VND-00785,ISO 9001,COMPLIANT,2021-06-10,2022-03-15,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-IN1987
CMP-004141,VND-02031,GDPR,COMPLIANT,2020-08-16,2022-01-25,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-SX5054
CMP-004142,VND-01304,HIPAA,PENDING,2023-07-02,2025-06-15,RSM Risk Advisory,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-GO9318
CMP-004143,VND-03672,SOC 2 Type II,COMPLIANT,2023-10-21,2024-07-07,John Smith,No material findings. All controls assessed as effective.,COMP-DOC-CA1254
CMP-004144,VND-03784,GDPR,PENDING,2020-04-17,2022-03-17,Elijiah Gray,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-QG9973
CMP-004145,VND-00395,NIST CSF,COMPLIANT,2020-10-01,2021-06-01,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-RS3505
CMP-004146,VND-01764,ISO 27001,COMPLIANT,2019-04-15,2019-12-19,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-WE0764
CMP-004147,VND-04263,GDPR,COMPLIANT,2023-03-18,2024-02-29,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-OL1862
CMP-004148,VND-00383,ISO 27001,COMPLIANT,2020-02-14,2020-10-13,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-SH4368
CMP-004149,VND-02618,CIS Controls,COMPLIANT,2022-09-26,2023-10-13,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-OW3145
CMP-004150,VND-03930,SOC 2 Type II,PENDING,2019-08-21,2020-05-25,Alex Sweetwater,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-XD9480
CMP-004151,VND-04264,SOC 2 Type II,COMPLIANT,2024-03-18,2025-02-25,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-QU2078
CMP-004152,VND-02057,ISO 27001,EXPIRED,2019-04-21,2021-09-14,Debra Houlihan,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-IT5845
CMP-004153,VND-03136,HIPAA,NON_COMPLIANT,2023-10-24,2022-08-18,Michael Albert,Vendor failed data encryption requirements under framework section 7.2.,COMP-DOC-CU0222
CMP-004154,VND-03852,GDPR,COMPLIANT,2020-05-04,2021-07-23,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-GJ7602
CMP-004155,VND-00093,SOC 2 Type II,COMPLIANT,2021-11-11,2023-04-10,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-IV0667
CMP-004156,VND-02862,NIST CSF,COMPLIANT,2019-02-23,2020-02-02,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-WU2793
CMP-004157,VND-00564,PCI-DSS,NON_COMPLIANT,2023-02-13,2024-09-19,KPMG Assurance,Critical control gap identified in access management procedures.,COMP-DOC-HT4445
CMP-004158,VND-00777,SOC 2 Type II,COMPLIANT,2021-02-10,2022-01-05,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-FT9067
CMP-004159,VND-03073,SOX,NON_COMPLIANT,2022-04-17,2023-12-07,Debra Houlihan,Insufficient audit trail documentation for transaction processing.,COMP-DOC-MA2108
CMP-004160,VND-04699,NIST CSF,COMPLIANT,2019-06-13,2020-09-28,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-MU6344
CMP-004161,VND-01523,ISO 9001,COMPLIANT,2021-03-27,2023-01-13,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-QK7108
CMP-004162,VND-00498,GDPR,COMPLIANT,2019-11-28,2021-05-24,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-LZ5754
CMP-004163,VND-01890,ISO 27001,COMPLIANT,2019-12-13,2020-08-16,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-NS3735
CMP-004164,VND-04744,HIPAA,COMPLIANT,2024-02-28,2025-10-03,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-TH4972
CMP-004165,VND-04489,ISO 9001,COMPLIANT,2024-04-13,2025-01-04,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-PP6898
CMP-004166,VND-04808,NIST CSF,COMPLIANT,2023-09-11,2024-05-10,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-XO3225
CMP-004167,VND-04975,SOX,COMPLIANT,2019-12-13,2020-06-22,Lynn Daneault,No material findings. All controls assessed as effective.,COMP-DOC-CC5022
CMP-004168,VND-02207,GDPR,COMPLIANT,2022-11-19,2024-08-16,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-MO4690
CMP-004169,VND-04569,GDPR,COMPLIANT,2022-05-21,2024-05-15,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-OE8471
CMP-004170,VND-03223,ISO 9001,COMPLIANT,2021-04-14,2021-11-27,Lynn Daneault,No material findings. All controls assessed as effective.,COMP-DOC-RT0587
CMP-004171,VND-04348,ISO 27001,COMPLIANT,2023-08-04,2025-03-01,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-LY7522
CMP-004172,VND-03474,SOX,COMPLIANT,2020-04-09,2021-03-24,Simon Roup,No material findings. All controls assessed as effective.,COMP-DOC-UT1200
CMP-004173,VND-04838,GDPR,COMPLIANT,2023-05-09,2024-12-20,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-ID0234
CMP-004174,VND-03086,GDPR,PENDING,2022-09-21,2023-08-31,Jennifer Zamora,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-ON3387
CMP-004175,VND-04116,SOC 2 Type II,COMPLIANT,2021-02-13,2022-04-15,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-WC8453
CMP-004176,VND-04477,ISO 27001,COMPLIANT,2021-02-24,2022-09-26,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-QU0215
CMP-004177,VND-03520,HIPAA,COMPLIANT,2022-05-14,2023-06-03,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-ZY6383
CMP-004178,VND-00200,ISO 27001,COMPLIANT,2021-08-17,2022-04-24,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-AV6943
CMP-004179,VND-03094,NIST CSF,COMPLIANT,2023-10-08,2024-04-10,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-NE8694
CMP-004180,VND-02734,NIST CSF,NON_COMPLIANT,2023-05-04,2025-03-24,Kelley Spirea,Incident response plan not tested within required 12-month window.,COMP-DOC-SU9978
CMP-004181,VND-01812,SOX,COMPLIANT,2022-07-24,2023-02-12,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-ZU1344
CMP-004182,VND-04869,PCI-DSS,COMPLIANT,2024-05-18,2025-08-29,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-YF5329
CMP-004183,VND-00613,CIS Controls,COMPLIANT,2023-02-23,2024-05-23,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-LT7375
CMP-004184,VND-01091,ISO 27001,COMPLIANT,2022-04-21,2022-12-06,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-GP2831
CMP-004185,VND-01216,CMMC,COMPLIANT,2023-01-17,2024-08-16,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-ZA8861
CMP-004186,VND-02129,ISO 27001,COMPLIANT,2022-02-20,2024-01-15,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-LY6334
CMP-004187,VND-01988,ISO 27001,COMPLIANT,2023-01-16,2024-10-21,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-GV8091
CMP-004188,VND-00056,ISO 9001,COMPLIANT,2023-02-10,2023-08-21,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-LS4168
CMP-004189,VND-00114,GDPR,COMPLIANT,2019-03-15,2019-10-30,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-WW9770
CMP-004190,VND-02051,SOC 2 Type II,COMPLIANT,2020-05-18,2021-02-13,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-RR4911
CMP-004191,VND-02768,PCI-DSS,COMPLIANT,2019-02-07,2020-09-02,Grant Thornton,No material findings. All controls assessed as effective.,COMP-DOC-PR4065
CMP-004192,VND-04613,NIST CSF,COMPLIANT,2020-08-25,2021-02-27,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-LB7651
CMP-004193,VND-04992,GDPR,COMPLIANT,2020-09-28,2022-08-12,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-DW7490
CMP-004194,VND-02558,SOC 2 Type II,COMPLIANT,2022-08-05,2024-07-14,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-GP3513
CMP-004195,VND-00410,SOC 2 Type II,PENDING,2020-03-30,2021-10-31,Kissy Sullivan,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-KN4562
CMP-004196,VND-01424,GDPR,COMPLIANT,2019-06-12,2020-03-18,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-BV3495
CMP-004197,VND-02155,SOX,COMPLIANT,2020-04-22,2021-02-01,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-JT1582
CMP-004198,VND-02264,ISO 9001,COMPLIANT,2019-12-28,2021-01-24,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-FZ3094
CMP-004199,VND-02305,CMMC,PENDING,2023-12-30,2025-02-09,Michael Albert,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-CA0596
CMP-004200,VND-01831,PCI-DSS,COMPLIANT,2023-04-26,2024-06-07,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-RK5612
CMP-004201,VND-02458,ISO 9001,COMPLIANT,2020-03-15,2021-05-19,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-QG8334
CMP-004202,VND-02548,HIPAA,COMPLIANT,2023-07-07,2024-06-14,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-YL4679
CMP-004203,VND-04150,PCI-DSS,COMPLIANT,2022-12-19,2023-07-06,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-XR3892
CMP-004204,VND-01950,ISO 9001,COMPLIANT,2022-12-09,2024-09-11,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-PM2914
CMP-004205,VND-04746,NIST CSF,COMPLIANT,2023-10-21,2025-07-13,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-OP3735
CMP-004206,VND-03698,SOC 2 Type II,COMPLIANT,2021-09-21,2022-06-04,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-OF2908
CMP-004207,VND-04996,PCI-DSS,COMPLIANT,2019-03-12,2019-10-01,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-CS1686
CMP-004208,VND-03389,ISO 27001,PENDING,2021-06-30,2022-07-19,Webster Butler,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-BH4478
CMP-004209,VND-04530,PCI-DSS,NON_COMPLIANT,2022-04-07,2023-11-18,Janet King,Insufficient audit trail documentation for transaction processing.,COMP-DOC-DE7320
CMP-004210,VND-04761,ISO 27001,COMPLIANT,2023-06-13,2024-06-03,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-NQ8116
CMP-004211,VND-02077,SOC 2 Type II,COMPLIANT,2020-01-06,2021-06-21,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-ZW4182
CMP-004212,VND-02402,PCI-DSS,COMPLIANT,2019-02-03,2019-12-29,Lynn Daneault,No material findings. All controls assessed as effective.,COMP-DOC-TW9718
CMP-004213,VND-04198,ISO 27001,COMPLIANT,2019-04-15,2020-01-21,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-OU7015
CMP-004214,VND-03511,SOC 2 Type II,COMPLIANT,2022-07-11,2023-07-05,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-BW9874
CMP-004215,VND-01840,PCI-DSS,COMPLIANT,2022-05-16,2023-12-10,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-LZ4191
CMP-004216,VND-02451,SOX,COMPLIANT,2021-12-07,2022-08-03,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-IO9949
CMP-004217,VND-02906,ISO 9001,EXPIRED,2023-04-04,2021-03-06,Peter Monroe,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-SK5117
CMP-004218,VND-01916,SOX,COMPLIANT,2020-12-11,2022-07-13,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-JC6142
CMP-004219,VND-02377,ISO 27001,EXPIRED,2021-06-13,2023-03-11,Eric Dougall,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-FK4045
CMP-004220,VND-03650,SOC 2 Type II,COMPLIANT,2022-08-28,2024-01-18,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-KP2858
CMP-004221,VND-02329,SOC 2 Type II,COMPLIANT,2020-03-28,2021-07-03,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-HD3708
CMP-004222,VND-03029,GDPR,NON_COMPLIANT,2021-03-14,2021-10-17,EY Compliance,Vendor failed data encryption requirements under framework section 7.2.,COMP-DOC-OF3574
CMP-004223,VND-00065,ISO 27001,COMPLIANT,2019-01-05,2020-12-29,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-BT8910
CMP-004224,VND-00298,ISO 27001,COMPLIANT,2021-12-12,2023-06-22,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-CW9246
CMP-004225,VND-03686,SOC 2 Type II,COMPLIANT,2020-09-17,2022-01-10,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-QQ1285
CMP-004226,VND-04130,GDPR,COMPLIANT,2019-03-06,2020-06-20,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-ZX9972
CMP-004227,VND-00733,ISO 9001,COMPLIANT,2021-12-22,2022-08-20,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-GE3150
CMP-004228,VND-04306,GDPR,EXPIRED,2019-09-11,2022-06-14,Brandon R. LeBlanc,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-CD0866
CMP-004229,VND-01260,CIS Controls,COMPLIANT,2020-10-15,2022-01-17,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-RC4295
CMP-004230,VND-00406,SOC 2 Type II,COMPLIANT,2020-05-04,2022-03-02,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-RQ9035
CMP-004231,VND-00871,PCI-DSS,COMPLIANT,2023-07-27,2024-04-22,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-VP0642
CMP-004232,VND-04852,SOC 2 Type II,PENDING,2019-04-15,2020-10-14,Debra Houlihan,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-KG8235
CMP-004233,VND-03637,GDPR,COMPLIANT,2024-06-01,2025-04-21,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-ZN4887
CMP-004234,VND-03551,PCI-DSS,COMPLIANT,2020-02-27,2021-06-16,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-WH1864
CMP-004235,VND-04932,NIST CSF,COMPLIANT,2023-03-31,2023-11-16,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-JP4121
CMP-004236,VND-04055,HIPAA,COMPLIANT,2020-08-17,2021-04-18,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-WM4960
CMP-004237,VND-03143,PCI-DSS,COMPLIANT,2021-04-24,2023-01-28,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-JD3706
CMP-004238,VND-03528,PCI-DSS,COMPLIANT,2020-06-02,2022-03-06,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-ZR2352
CMP-004239,VND-03878,PCI-DSS,COMPLIANT,2023-06-02,2025-04-29,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-PH3611
CMP-004240,VND-03225,CIS Controls,COMPLIANT,2021-07-15,2022-09-15,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-EG8705
CMP-004241,VND-01943,SOC 2 Type II,COMPLIANT,2019-06-08,2020-06-11,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-RF6298
CMP-004242,VND-02411,ISO 9001,COMPLIANT,2022-08-14,2024-03-11,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-CV5487
CMP-004243,VND-00933,ISO 27001,COMPLIANT,2021-11-07,2023-03-06,Simon Roup,No material findings. All controls assessed as effective.,COMP-DOC-AH0964
CMP-004244,VND-03626,GDPR,COMPLIANT,2020-09-22,2021-06-30,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-RG4699
CMP-004245,VND-04054,SOC 2 Type II,COMPLIANT,2019-03-11,2021-03-07,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-UC3856
CMP-004246,VND-02101,SOX,COMPLIANT,2021-05-21,2022-11-21,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-VJ1668
CMP-004247,VND-00860,GDPR,COMPLIANT,2022-02-25,2023-06-13,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-MV6778
CMP-004248,VND-02563,GDPR,COMPLIANT,2019-05-14,2020-11-17,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-CX3249
CMP-004249,VND-00001,ISO 27001,NON_COMPLIANT,2023-06-07,2021-02-18,David Stanley,Incident response plan not tested within required 12-month window.,COMP-DOC-CO5393
CMP-004250,VND-00495,NIST CSF,COMPLIANT,2021-07-04,2022-04-07,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-KN6199
CMP-004251,VND-04668,SOC 2 Type II,NON_COMPLIANT,2021-05-23,2022-05-07,Brandon R. LeBlanc,Third-party sub-processor agreements not in place as required.,COMP-DOC-YI2603
CMP-004252,VND-01305,ISO 27001,COMPLIANT,2019-08-29,2020-07-09,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-PY6157
CMP-004253,VND-02925,ISO 27001,COMPLIANT,2019-08-21,2021-01-29,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-IM4236
CMP-004254,VND-02767,HIPAA,COMPLIANT,2022-06-13,2024-01-04,Debra Houlihan,No material findings. All controls assessed as effective.,COMP-DOC-CF7803
CMP-004255,VND-03879,CMMC,COMPLIANT,2020-08-26,2021-07-17,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-UI7186
CMP-004256,VND-02923,ISO 27001,COMPLIANT,2019-10-19,2021-07-29,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-ZY8074
CMP-004257,VND-04134,PCI-DSS,COMPLIANT,2020-04-20,2021-09-12,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-AV1204
CMP-004258,VND-02398,SOX,COMPLIANT,2019-04-18,2020-10-13,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-BY4565
CMP-004259,VND-01396,ISO 9001,EXPIRED,2021-02-15,2022-05-10,Lynn Daneault,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-MT3636
CMP-004260,VND-02867,GDPR,PENDING,2021-01-26,2022-07-01,Ketsia Liebig,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-JY8139
CMP-004261,VND-01630,ISO 9001,COMPLIANT,2021-04-06,2023-01-10,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-SW2230
CMP-004262,VND-01360,SOX,COMPLIANT,2021-03-06,2022-07-02,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-FM2103
CMP-004263,VND-04198,CMMC,COMPLIANT,2020-01-21,2021-04-19,Grant Thornton,No material findings. All controls assessed as effective.,COMP-DOC-TP9820
CMP-004264,VND-00219,ISO 27001,COMPLIANT,2020-10-27,2021-11-10,Debra Houlihan,No material findings. All controls assessed as effective.,COMP-DOC-FU8793
CMP-004265,VND-04541,SOX,COMPLIANT,2023-01-28,2024-08-08,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-MV0123
CMP-004266,VND-00403,NIST CSF,COMPLIANT,2022-07-16,2023-12-08,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-OE7937
CMP-004267,VND-01389,ISO 27001,COMPLIANT,2020-09-29,2021-09-22,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-LM5901
CMP-004268,VND-00237,PCI-DSS,COMPLIANT,2019-05-06,2021-03-30,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-NJ2992
CMP-004269,VND-04209,PCI-DSS,COMPLIANT,2022-08-08,2024-03-06,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-CA0133
CMP-004270,VND-03632,ISO 27001,COMPLIANT,2021-02-01,2022-12-28,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-TA4574
CMP-004271,VND-03924,SOC 2 Type II,COMPLIANT,2023-04-22,2023-10-21,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-TS8507
CMP-004272,VND-03461,CMMC,NON_COMPLIANT,2022-02-21,2023-05-29,Board of Directors,Critical control gap identified in access management procedures.,COMP-DOC-MJ9113
CMP-004273,VND-01780,ISO 27001,COMPLIANT,2019-07-02,2021-06-20,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-LB8236
CMP-004274,VND-00864,ISO 9001,COMPLIANT,2020-07-15,2022-01-06,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-JX4938
CMP-004275,VND-00052,SOX,COMPLIANT,2024-01-03,2024-09-08,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-PJ6831
CMP-004276,VND-03290,HIPAA,PENDING,2019-12-05,2021-11-12,Jennifer Zamora,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-JM0033
CMP-004277,VND-02089,GDPR,COMPLIANT,2020-04-13,2021-09-18,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-SZ3673
CMP-004278,VND-02747,CMMC,COMPLIANT,2022-10-27,2023-06-20,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-FR1404
